iso3,current_severity,pred_sev_3m,pred_sev_6m,pred_sev_12m,sev_delta_12m,worst_case_12m,p45_surge_prob,p45_exceedance_6m,risk_signal,rank
CHL,3.0000,2.9123,2.8862,2.9035,-0.0965,2.9993,0.0003,0.0021,-0.1120,64
GRC,3.0000,2.8800,2.8690,2.8748,-0.1252,3.0060,0.0003,0.0053,-0.1227,65
THA,3.0000,2.9195,2.9089,2.9099,-0.0901,2.8775,0.0006,0.0208,-0.1315,66
ECU,4.0000,3.8202,3.8050,3.7934,-0.2066,3.8665,0.3406,0.0922,-0.1696,67
HTI,5.0000,4.8454,4.8252,4.8033,-0.1967,4.9823,0.3464,0.0129,-0.1708,68
IRQ,4.0000,3.6920,3.6690,3.6730,-0.3270,3.9550,0.7610,0.1026,-0.2509,69
NGA,5.0000,4.6370,4.6210,4.5822,-0.4178,4.8908,0.1179,0.0845,-0.3492,70
COL,5.0000,4.4221,4.4201,4.3888,-0.6112,4.9488,0.8138,0.0586,-0.5470,71
MDA,3.0000,2.5293,2.5145,2.5278,-0.4722,2.8007,0.0003,0.0199,-0.5652,72
DOM,3.0000,2.3472,2.3358,2.3515,-0.6485,2.8954,0.0003,0.0257,-0.6907,73
TCD,5.0000,4.2758,4.2442,4.2072,-0.7928,4.6825,0.2217,0.0846,-0.8300,74
MRT,4.0000,3.4047,3.3939,3.3828,-0.6172,3.2193,0.9563,0.0509,-0.9456,75
